ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGIDS	ALIGNMENT	STRUCTURE
3189	Marinawa	above	mãnãkírí	mãnãkírí	m a ~.n a ~ k i r i	None	132	m a ~.n a ~ k i r i	C V 0 V 0 C V C V
3190	Mayoruna	above	mannan	mannan	m a n n a n	None	132	m a n n a n - - -	C V C C V C
3176	Proto-Panoan	above	ma[n]a[n]	ma[n]a[n]	m a rⁿ a rⁿ	None	132	m a rⁿ a rⁿ - - - -	C V C V C
3186	Shanenawa	above	manaun	manaun	m a n a u n	None	132	m a n a u n - - -	C V C V V C
3185	Sharanawa	above	mananun	mananun	m a n a n u n	None	132	m a n a n u n - -	C V C V C V C
3178	ShipiboKonibo	above	manã́	manã́	m a n a ~	None	132	m a n a ~ - - - -	C V C V 0
3182	Yaminawa	above	manaõ	manaõ	m a n a ~ o	None	132	m a n a ~ o - - -	C V C V 0 V
3363	Amawaka	achiote	maxɨ	maxɨ	m a x ɨ	II	146	m a x ɨ	C V C V
3360	Chakobo	achiote	maʂɨ	maʂɨ	m a ʂ ɨ	None	146	m a ʂ ɨ	C V C V
3361	Chaninawa	achiote	baʃɨ	baʃɨ	b a ʃ ɨ	None	146	b a ʃ ɨ	C V C V
3356	Kakataibo	achiote	maʂɨ	maʂɨ	m a ʂ ɨ	None	146	m a ʂ ɨ	C V C V
3358	Kapanawa	achiote	maʂɨ	maʂɨ	m a ʂ ɨ	None	146	m a ʂ ɨ	C V C V
3362	Katukina	achiote	maʂi	maʂi	m a ʂ i	None	146	m a ʂ i	C V C V
3364	Kaxinawa	achiote	maʂɨ	maʂɨ	m a ʂ ɨ	None	146	m a ʂ ɨ	C V C V
3365	Marinawa	achiote	máʂɨ́	máʂɨ́	m a ʂ ɨ	None	146	m a ʂ ɨ	C V C V
3359	Marubo	achiote	maʃɨ	maʃɨ	m a ʃ ɨ	None	146	m a ʃ ɨ	C V C V
3355	Proto-Panoan	achiote	maʂɨ	maʂɨ	m a ʂ ɨ	None	146	m a ʂ ɨ	C V C V
3357	ShipiboKonibo	achiote	maʂɨ	maʂɨ	m a ʂ ɨ	None	146	m a ʂ ɨ	C V C V
4412	Korubo	achiote	ʃinte	ʃinte	ʃ i n t e	None	233	ʃ i n t e - -	C V C C V
4617	Korubo	achiote	ʃinte	ʃinte	ʃ i n t e	None	247	ʃ i n t e -	C V C C V
6568	Amawaka	adam's apple	tɨtõ	tɨtõ	t ɨ t o ~	II	400	t ɨ t o ~ -	C V C V 0
6564	Chakobo	adam's apple	tɨto	tɨto	t ɨ t o	None	400	t ɨ t o - -	C V C V
6560	Kakataibo	adam's apple	tɨtṍ	tɨtṍ	t ɨ t o ~	None	400	t ɨ t o ~ -	C V C V 0
6562	Kapanawa	adam's apple	tɨtón	tɨtón	t ɨ t o n	None	400	t ɨ t o n -	C V C V C
6570	Kaxinawa	adam's apple	tɨtuku	tɨtuku	t ɨ t u k u	None	400	t ɨ t u k u	C V C V C V
6571	Marinawa	adam's apple	tɨ́ś_tõ	tɨ́ś_tõ	t ɨ s t o ~	None	400	t ɨ s t o ~	C V C C V 0
6563	Marubo	adam's apple	tə̃ˈto	tə̃ˈto	t ə t o	None	400	t ə t o - -	C V C V
6559	Proto-Panoan	adam's apple	tɨto[n]	tɨto[n]	t ɨ t o rⁿ	None	400	t ɨ t o rⁿ -	C V C V C
6566	Sharanawa	adam's apple	tɨtoko	tɨtoko	t ɨ t o k o	None	400	t ɨ t o k o	C V C V C V
6561	ShipiboKonibo	adam's apple	tɨtṍ	tɨtṍ	t ɨ t o ~	None	400	t ɨ t o ~ -	C V C V 0
7079	Amawaka	afternoon	yãtã	yãtã	j a ~ t a ~	II	445	j a ~ t a ~	C V 0 C V 0
7075	Chakobo	afternoon	yáta	yáta	j a t a	None	445	j a t a - -	C V C V
7072	Kakataibo	afternoon	atã́	atã́	a t a ~	None	445	a t a ~ - -	V C V 0
7074	Kapanawa	afternoon	yantán	yantán	j a n t a n	None	445	j a n t a n	C V C C V C
7080	Marinawa	afternoon	yátã	yátã	j a t a ~	None	445	j a t a ~ -	C V C V 0
7071	Proto-Panoan	afternoon	yãtan	yãtan	j a ~ t a n	None	445	j a ~ t a n	C V 0 C V C
7078	Sharanawa	afternoon	yatan	yatan	j a t a n	None	445	j a t a n -	C V C V C
7073	ShipiboKonibo	afternoon	yãtã́	yãtã́	j a ~ t a ~	None	445	j a ~ t a ~	C V 0 C V 0
7077	Yaminawa	afternoon	yãta	yãta	j a ~ t a	None	445	j a ~ t a -	C V 0 C V
7081	Yawanawa	afternoon	jãˈtã	jãˈtã	j a ~ t a ~	None	445	j a ~ t a ~	C V 0 C V 0
1744	Chakobo	amber	tsisto	tsisto	ts i s t o	None	18	ts i s t o	C V C C V
1745	Mayoruna	amber	tsisu	tsisu	ts i s u	None	18	ts i s u -	C V C V
1742	Proto-Panoan	amber	[ts]is[t]o	[ts]is[t]o	ts i s t o	None	18	ts i s t o	C V C C V
1735	Chakobo	amber, coal	tsistɨ	tsistɨ	ts i s t ɨ	None	17	ts i s t ɨ	C V C C V
1734	Kapanawa	amber, coal	tsistɨ	tsistɨ	ts i s t ɨ	None	17	ts i s t ɨ	C V C C V
1739	Kaxinawa	amber, coal	tsistɨ	tsistɨ	ts i s t ɨ	None	17	ts i s t ɨ	C V C C V
1741	Marinawa	amber, coal	tsístɨ́	tsístɨ́	ts i s t ɨ	None	17	ts i s t ɨ	C V C C V
1731	Proto-Panoan	amber, coal	tsistɨ	tsistɨ	ts i s t ɨ	None	17	ts i s t ɨ	C V C C V
1737	Sharanawa	amber, coal	tsistɨ	tsistɨ	ts i s t ɨ	None	17	ts i s t ɨ	C V C C V
1733	ShipiboKonibo	amber, coal	tsistɨ	tsistɨ	ts i s t ɨ	None	17	ts i s t ɨ	C V C C V
1743	Kakataibo	amber, coal	tsiso	tsiso	ts i s o	None	18	ts i s o -	C V C V
7149	Amawaka	animal	yõʔina_I	yõʔina_I	j o ʔ i n a	None	451	j o ʔ i n a	C V C V C V
7144	Chakobo	animal	yoʔína	yoʔína	j o ʔ i n a	None	451	j o ʔ i n a	C V C V C V
7140	Kakataibo	animal	ñoina	ñoina	ɲ o i n a	None	451	ɲ o i n a -	C V V C V
7142	Kapanawa	animal	yoʔina	yoʔina	j o ʔ i n a	None	451	j o ʔ i n a	C V C V C V
7150	Kaxinawa	animal	yuina	yuina	j u i n a	None	451	j u i n a -	C V V C V
7152	Marinawa	animal	yóíná	yóíná	j o i n a	None	451	j o i n a -	C V V C V
7143	Marubo	animal	yoĩ	yoĩ	j o i ~	None	451	j o i ~ - -	C V V 0
7148	Poyanawa	animal	iũĩda	iũĩda	j u i ~.d a	None	451	j u i ~.d a -	C V V 0 V
7139	Proto-Panoan	animal	yoʔi[n]a	yoʔi[n]a	j o ʔ i rⁿ a	None	451	j o ʔ i rⁿ a	C V C V C V
7147	Shanenawa	animal	yuina	yuina	j u i n a	None	451	j u i n a -	C V V C V
7145	Sharanawa	animal	yoina	yoina	j o i n a	None	451	j o i n a -	C V V C V
7141	ShipiboKonibo	animal	yoina	yoina	j o i n a	None	451	j o i n a -	C V V C V
7153	Yawanawa	animal	iuina	iuina	j u i n a	None	451	j u i n a -	C V V C V
3065	Amawaka	animal horn	matʃã	matʃã	m a tʃ a ~	None	122	m a tʃ a ~ -	C V C V 0
3060	Kapanawa	animal horn	mantʃán	mantʃán	m a n tʃ a n	None	122	m a n tʃ a n	C V C C V C
3057	Proto-Panoan	animal horn	mãtʃa[n]	mãtʃa[n]	m a ~ tʃ a rⁿ	None	122	m a ~ tʃ a rⁿ	C V 0 C V C
3059	ShipiboKonibo	animal horn	mãtʃã́	mãtʃã́	m a ~ tʃ a ~	None	122	m a ~ tʃ a ~	C V 0 C V 0
3066	Yawanawa	animal horn	matʃan	matʃan	m a tʃ a n	None	122	m a tʃ a n -	C V C V C
3399	Amawaka	animal horn	máxo	máxo	m a x o	II	150	m a x o - - -	C V C V
3391	Chakobo	animal horn	maʃoˈʃo	maʃoˈʃo	m a ʃ o ʃ o	None	150	m a ʃ o ʃ o -	C V C V C V
3398	Kaxarari	animal horn	maʂaˈɦu	maʂaˈɦu	m a ʂ a ɦ u	None	150	m a ʂ a ɦ u -	C V C V C V
3400	Kaxinawa	animal horn	maʂu	maʂu	m a ʂ u	None	150	m a ʂ u - - -	C V C V
3401	Marinawa	animal horn	máʂo	máʂo	m a ʂ o	None	150	m a ʂ o - - -	C V C V
3390	Marubo	animal horn	mãˈʃũ	mãˈʃũ	m a ~ ʃ u ~	None	150	m a ~ ʃ u ~ -	C V 0 C V 0
3404	Mayoruna	animal horn	maˈʂukud	maˈʂukud	m a ʂ u k u d	None	150	m a ʂ u k u d	C V C V C V C
3397	Poyanawa	animal horn	mãhũ	mãhũ	m a ~ h u ~	None	150	m a ~ h u ~ -	C V 0 C V 0
3388	Proto-Panoan	animal horn	mãʂo	mãʂo	m a ~ ʂ o	None	150	m a ~ ʂ o - -	C V 0 C V
3396	Shanenawa	animal horn	maʂu	maʂu	m a ʂ u	None	150	m a ʂ u - - -	C V C V
3394	Sharanawa	animal horn	maʂo	maʂo	m a ʂ o	None	150	m a ʂ o - - -	C V C V
3392	Yaminawa	animal horn	mãʂo	mãʂo	m a ~ ʂ o	None	150	m a ~ ʂ o - -	C V 0 C V
3402	Yawanawa	animal horn	manʃun	manʃun	m a n ʃ u n	None	150	m a n ʃ u n -	C V C C V C
4965	Amawaka	ankle	hopoxko	hopoxko	h o p o x k o	II	276	h o p o x k o	C V C V C C V
4962	Chaninawa	ankle	opoʃko	opoʃko	o p o ʃ k o	None	276	o p o ʃ k o -	V C V C C V
4957	Kapanawa	ankle	tapoʃko	tapoʃko	t a p o ʃ k o	None	276	t a p o ʃ k o	C V C V C C V
4964	Katukina	ankle	tapuʂku	tapuʂku	t a p u ʂ k u	None	276	t a p u ʂ k u	C V C V C C V
4966	Kaxinawa	ankle	hupúʃku	hupúʃku	h u p u ʃ k u	None	276	h u p u ʃ k u	C V C V C C V
4967	Marinawa	ankle	ópoʂko	ópoʂko	o p o ʂ k o	None	276	o p o ʂ k o -	V C V C C V
4958	Marubo	ankle	taˈpuʂɨ	taˈpuʂɨ	t a p u ʂ ɨ	None	276	t a p u ʂ ɨ -	C V C V C V
4956	Proto-Panoan	ankle	poʂko	poʂko	p o ʂ k o	None	276	p o ʂ k o - -	C V C C V
4963	Sharanawa	ankle	opoʂko	opoʂko	o p o ʂ k o	None	276	o p o ʂ k o -	V C V C C V
4960	Yaminawa	ankle	opoʂko	opoʂko	o p o ʂ k o	None	276	o p o ʂ k o -	V C V C C V
4969	Yawanawa	ankle	upuʃˈku	upuʃˈku	u p u ʃ k u	None	276	u p u ʃ k u -	V C V C C V
5647	Amawaka	anteater	xaʔɨ	xaʔɨ	x a ʔ ɨ	II	328	x a ʔ ɨ	C V C V
5642	Chakobo	anteater	ʂaʔɨ	ʂaʔɨ	ʂ a ʔ ɨ	None	328	ʂ a ʔ ɨ	C V C V
5640	Kapanawa	anteater	ʂaʔɨ	ʂaʔɨ	ʂ a ʔ ɨ	None	328	ʂ a ʔ ɨ	C V C V
5646	Katukina	anteater	ʂaɨ	ʂaɨ	ʂ a ɨ	None	328	ʂ a ɨ -	C V V
5648	Kaxinawa	anteater	ʂaɨ	ʂaɨ	ʂ a ɨ	None	328	ʂ a ɨ -	C V V
5652	Korubo	anteater	ʃaɨ	ʃaɨ	ʃ a ɨ	None	328	ʃ a ɨ -	C V V
5649	Marinawa	anteater	ʂaɨ́́	ʂaɨ́́	ʂ a ɨ	None	328	ʂ a ɨ -	C V V
5641	Marubo	anteater	ʃaɨ	ʃaɨ	ʃ a ɨ	None	328	ʃ a ɨ -	C V V
5653	Matis	anteater	ʂaɨ	ʂaɨ	ʂ a ɨ	None	328	ʂ a ɨ -	C V V
5655	Mayoruna	anteater	ʂaɨ	ʂaɨ	ʂ a ɨ	None	328	ʂ a ɨ -	C V V
5650	Poyanawa	anteater	hay	hay	h a i	None	328	h a i -	C V V
5637	Proto-Panoan	anteater	ʂaʔɨ	ʂaʔɨ	ʂ a ʔ ɨ	None	328	ʂ a ʔ ɨ	C V C V
5645	Shanenawa	anteater	saɨ	saɨ	s a ɨ	None	328	s a ɨ -	C V V
5643	Sharanawa	anteater	ʂaɨ	ʂaɨ	ʂ a ɨ	None	328	ʂ a ɨ -	C V V
5639	ShipiboKonibo	anteater	ʂaɨ	ʂaɨ	ʂ a ɨ	None	328	ʂ a ɨ -	C V V
5651	Yawanawa	anteater	ʂaˈɨ	ʂaˈɨ	ʂ a ɨ	None	328	ʂ a ɨ -	C V V
5011	Amawaka	arm	põyã_I	põyã_I	p o j a ~	None	279	p o j a ~ - -	C V C V 0
5002	Chakobo	arm	poyámɨ	poyámɨ	p o j a m ɨ	None	279	p o j a m ɨ -	C V C V C V
5005	Chaninawa	arm	póyan	póyan	p o j a n	None	279	p o j a n - -	C V C V C
5000	Kapanawa	arm	poyán	poyán	p o j a n	None	279	p o j a n - -	C V C V C
5008	Katukina	arm	puyan	puyan	p u j a n	None	279	p u j a n - -	C V C V C
5012	Kaxinawa	arm	puyã	puyã	p u j a ~	None	279	p u j a ~ - -	C V C V 0
5013	Marinawa	arm	poyã	poyã	p o j a ~	None	279	p o j a ~ - -	C V C V 0
5001	Marubo	arm	puˈɐ̃	puˈɐ̃	p u ɐ ~	None	279	p u ɐ ~ - - -	C V V 0
5010	Poyanawa	arm	puyã	puyã	p u j a ~	None	279	p u j a ~ - -	C V C V 0
4997	Proto-Panoan	arm	poyam	poyam	p o j a m	None	279	p o j a m - -	C V C V C
5006	Sharanawa	arm	poyan	poyan	p o j a n	None	279	p o j a n - -	C V C V C
4999	ShipiboKonibo	arm	poyã_o_põyã	poyã_o_põyã	p o j a ~	None	279	p o j a ~ - -	C V C V 0
5003	Yaminawa	arm	põya	põya	p o j a	None	279	p o j a - - -	C V C V
5016	Yawanawa	arm	puia-uma	puia-uma	p u j a u m a	None	279	p u j a u m a	C V C V V C V
2497	Marubo	arrow	kãti	kãti	k a ~ t i	None	77	k a ~ t i - - - -	C V 0 C V
4737	Amawaka	arrow	piya_I	piya_I	p i j a	None	257	p i j a	C V C V
4728	Chakobo	arrow	pia	pia	p i a	None	257	p i a -	C V V
4732	Chaninawa	arrow	pia	pia	p i a	None	257	p i a -	C V V
4725	Kakataibo	arrow	pia	pia	p i a	None	257	p i a -	C V V
4736	Katukina	arrow	pia	pia	p i a	None	257	p i a -	C V V
4729	Kaxarari	arrow	piˈja	piˈja	p i j a	None	257	p i j a	C V C V
4738	Kaxinawa	arrow	pia	pia	p i a	removed haʃi from data	257	p i a -	C V V
4739	Marinawa	arrow	pia	pia	p i a	también káɸiti	257	p i a -	C V V
4743	Mayoruna	arrow	pia	pia	p i a	None	257	p i a -	C V V
4724	Proto-Panoan	arrow	pia	pia	p i a	None	257	p i a -	C V V
4735	Shanenawa	arrow	pia	pia	p i a	None	257	p i a -	C V V
4733	Sharanawa	arrow	pia	pia	p i a	None	257	p i a -	C V V
4726	ShipiboKonibo	arrow	pia	pia	p i a	None	257	p i a -	C V V
4730	Yaminawa	arrow	pia	pia	p i a	None	257	p i a -	C V V
4740	Yawanawa	arrow	pia	pia	p i a	None	257	p i a -	C V V
6477	Marubo	arrow	ˈtawa	ˈtawa	t a w a	None	394	t a w a - - - -	C V C V
3242	Amawaka	ascend	mapɨ-	mapɨ-	m a p ɨ	II	136	m a p ɨ - - - -	C V C V
3239	Chakobo	ascend	mapɨ	mapɨ	m a p ɨ	None	136	m a p ɨ - - - -	C V C V
3236	Kakataibo	ascend	mápɨrakɨ́-	mápɨrakɨ́-	m a p ɨ r a k ɨ	None	136	m a p ɨ r a k ɨ	C V C V C V C V
3238	Kapanawa	ascend	mapɨ́	mapɨ́	m a p ɨ	None	136	m a p ɨ - - - -	C V C V
3243	Kaxinawa	ascend	mapɨ-	mapɨ-	m a p ɨ	None	136	m a p ɨ - - - -	C V C V
3244	Marinawa	ascend	mápɨ-	mápɨ-	m a p ɨ	None	136	m a p ɨ - - - -	C V C V
3235	Proto-Panoan	ascend	mapɨ-	mapɨ-	m a p ɨ	None	136	m a p ɨ - - - -	C V C V
3240	Yaminawa	ascend	mapɨ	mapɨ	m a p ɨ	None	136	m a p ɨ - - - -	C V C V
2952	Amawaka	ash, gray	koro	koro	k o r o	II	112	k o r o - - -	C V C V
2950	Chakobo	ash, gray	koro	koro	k o r o	None	112	k o r o - - -	C V C V
2944	Kakataibo	ash, gray	kweẽkoro	kweẽkoro	kʷ e e k o r o	None	112	kʷ e e k o r o	C V V C V C V
2948	Kapanawa	ash, gray	koro	koro	k o r o	None	112	k o r o - - -	C V C V
2951	Katukina	ash, gray	kuru	kuru	k u r u	None	112	k u r u - - -	C V C V
2953	Kaxinawa	ash, gray	kudu	kudu	k u d u	None	112	k u d u - - -	C V C V
2954	Marinawa	ash, gray	kóró	kóró	k o r o	None	112	k o r o - - -	C V C V
2949	Marubo	ash, gray	koro	koro	k o r o	None	112	k o r o - - -	C V C V
2956	Matis	ash, gray	kuɾu	kuɾu	k u ɾ u	None	112	k u ɾ u - - -	C V C V
2957	Mayoruna	ash, gray	kuˈɾu	kuˈɾu	k u ɾ u	None	112	k u ɾ u - - -	C V C V
2943	Proto-Panoan	ash, gray	koɽo	koɽo	k o ɽ o	None	112	k o ɽ o - - -	C V C V
2947	ShipiboKonibo	ash, gray	koro	koro	k o r o	None	112	k o r o - - -	C V C V
3283	Kaxarari	ash, gray	mapuˈʔu	mapuˈʔu	m a p u ʔ u	None	140	m a p u ʔ u - -	C V C V C V
3373	Amawaka	atop	máxkaa	máxkaa	m a x k a a	None	147	m a x k a a - -	C V C C V V
3370	Chakobo	atop	maʂkátʃa	maʂkátʃa	m a ʂ k a tʃ a	None	147	m a ʂ k a tʃ a -	C V C C V C V
3375	Kaxinawa	atop	maʂka	maʂka	m a ʂ k a	None	147	m a ʂ k a - - -	C V C C V
3376	Mayoruna	atop	maʂˈkad	maʂˈkad	m a ʂ k a d	None	147	m a ʂ k a d - -	C V C C V C
3366	Proto-Panoan	atop	maʂka[t]	maʂka[t]	m a ʂ k a t	None	147	m a ʂ k a t - -	C V C C V C
3371	Sharanawa	atop	maʂkanan	maʂkanan	m a ʂ k a n a n	None	147	m a ʂ k a n a n	C V C C V C V C
3368	ShipiboKonibo	atop	maʂká	maʂká	m a ʂ k a	None	147	m a ʂ k a - - -	C V C C V
5397	Amawaka	axe	rowɨ_I	rowɨ_I	r o w ɨ	None	307	r o w ɨ	C V C V
5390	Kakataibo	axe	roɨ	roɨ	r o ɨ	None	307	r o ɨ -	C V V
5392	Kapanawa	axe	rowɨ	rowɨ	r o w ɨ	None	307	r o w ɨ	C V C V
5395	Katukina	axe	ɾui	ɾui	ɾ u i	None	307	ɾ u i -	C V V
5398	Kaxinawa	axe	duɨ	duɨ	d u ɨ	None	307	d u ɨ -	C V V
5399	Marinawa	axe	rowɨ	rowɨ	r o w ɨ	None	307	r o w ɨ	C V C V
5393	Marubo	axe	ˈruɨ	ˈruɨ	r u ɨ	None	307	r u ɨ -	C V V
5401	Matis	axe	duɨ	duɨ	d u ɨ	None	307	d u ɨ -	C V V
5402	Mayoruna	axe	duɨ	duɨ	d u ɨ	None	307	d u ɨ -	C V V
5389	Proto-Panoan	axe	ɽoɨ	ɽoɨ	ɽ o ɨ	None	307	ɽ o ɨ -	C V V
5394	Shanenawa	axe	ɾuɨ	ɾuɨ	ɾ u ɨ	None	307	ɾ u ɨ -	C V V
5391	ShipiboKonibo	axe	roɨ	roɨ	r o ɨ	None	307	r o ɨ -	C V V
5400	Yawanawa	axe	ruˈɨ	ruˈɨ	r u ɨ	None	307	r u ɨ -	C V V
7054	Amawaka	axe	yami_I	yami_I	j a m i	None	443	j a m i - - - -	C V C V
7049	Chaninawa	axe	yami	yami	j a b i	None	443	j a b i - - - -	C V C V
7047	Kapanawa	axe	yami	yami	j a m i	None	443	j a m i - - - -	C V C V
7055	Kaxinawa	axe	yami	yami	j a m i	None	443	j a m i - - - -	C V C V
7056	Marinawa	axe	yami	yami	j a m i	None	443	j a m i - - - -	C V C V
7053	Poyanawa	axe	iamĩbapu	iamĩbapu	j a m i b a p u	(prov. iamĩ + bapu	443	j a m i b a p u	C V C V C V C V
7045	Proto-Panoan	axe	yami	yami	j a m i	None	443	j a m i - - - -	C V C V
7051	Sharanawa	axe	yami	yami	j a m i	None	443	j a m i - - - -	C V C V
7046	ShipiboKonibo	axe	yami	yami	j a m i	None	443	j a m i - - - -	C V C V
7048	Yaminawa	axe	yami	yami	j a m i	None	443	j a m i - - - -	C V C V
2387	Amawaka	back	katɨ́	katɨ́	k a t ɨ	None	69	k a t ɨ - - -	C V C V
2379	Chakobo	back	katɨ	katɨ	k a t ɨ	None	69	k a t ɨ - - -	C V C V
2382	Chaninawa	back	kato	kato	k a t ɨ	None	69	k a t ɨ - - -	C V C V
2378	Kapanawa	back	kaʔtɨ	kaʔtɨ	k a ʔ t ɨ	None	69	k a ʔ t ɨ - -	C V C C V
2380	Kaxarari	back	ˈkatapu	ˈkatapu	k a t a p u	(PICKERING,  s.d.	69	k a t a p u -	C V C V C V
2388	Kaxinawa	back	katɨ	katɨ	k a t ɨ	None	69	k a t ɨ - - -	C V C V
2389	Marinawa	back	katɨ	katɨ	k a t ɨ	None	69	k a t ɨ - - -	C V C V
2390	Matis	back	kaʂuku	kaʂuku	k a ʂ u k u	None	69	k a ʂ u k u -	C V C V C V
2386	Poyanawa	back	katɨhaw	katɨhaw	k a t ɨ h a w	(katɨ <<costas>> + haw <<osso>>	69	k a t ɨ h a w	C V C V C V C
2377	Proto-Panoan	back	kaʔtɨ	kaʔtɨ	k a ʔ t ɨ	None	69	k a ʔ t ɨ - -	C V C C V
2384	Sharanawa	back	katɨ	katɨ	k a t ɨ	None	69	k a t ɨ - - -	C V C V
2381	Yaminawa	back	kati	kati	k a t ɨ	None	69	k a t ɨ - - -	C V C V
2632	Kakataibo	back	ka-ʂo	ka-ʂo	k a ʂ o	None	85	k a ʂ o - - -	C V C V
2645	Matis	back	ka-ʂuku	ka-ʂuku	k a ʂ u k u	None	85	k a ʂ u k u -	C V C V C V
2641	Amawaka	back (body-part prefix)	ká-tɨ-xáo	ká-tɨ-xáo	k a t ɨ x a o	None	85	k a t ɨ x a o	C V C V C V V
2636	Chakobo	back (body-part prefix)	ˈka-ʂo	ˈka-ʂo	k a ʂ o	None	85	k a ʂ o - - -	C V C V
2640	Katukina	back (body-part prefix)	ka-ʃu	ka-ʃu	k a ʃ u	None	85	k a ʃ u - - -	C V C V
2638	Kaxarari	back (body-part prefix)	kaʃaˈho	kaʃaˈho	k a ʃ a h o	None	85	k a ʃ a h o -	C V C V C V
2642	Kaxinawa	back (body-part prefix)	ka-ʂaʂu	ka-ʂaʂu	k a ʂ a ʂ u	None	85	k a ʂ a ʂ u -	C V C V C V
2644	Marinawa	back (body-part prefix)	ká-ʂáʂó	ká-ʂáʂó	k a ʂ a ʂ o	None	85	k a ʂ a ʂ o -	C V C V C V
2635	Marubo	back (body-part prefix)	kaʃo	kaʃo	k a ʃ o	None	85	k a ʃ o - - -	C V C V
2647	Mayoruna	back (body-part prefix)	kaˈʂu	kaˈʂu	k a ʂ u	None	85	k a ʂ u - - -	C V C V
2637	Poyanawa	back (body-part prefix)	kahku	kahku	k a h k u	None	85	k a h k u - -	C V C C V
2631	Proto-Panoan	back (body-part prefix)	ka-	ka-	k a	None	85	k a - - - - -	C V
2639	Sharanawa	back (body-part prefix)	ka-tɨ-ʂao	ka-tɨ-ʂao	k a t ɨ ʂ a o	None	85	k a t ɨ ʂ a o	C V C V C V V
2633	ShipiboKonibo	back (body-part prefix)	ka-ʂo	ka-ʂo	k a ʂ o	None	85	k a ʂ o - - -	C V C V
1907	Amawaka	back part	tʃípo	tʃípo	tʃ i p o	None	32	tʃ i p o - - -	C V C V
1903	Chakobo	back part	tʃípo	tʃípo	tʃ i p o	None	32	tʃ i p o - - -	C V C V
1899	Kakataibo	back part	tʃipṍmi	tʃipṍmi	tʃ i p o m i	None	32	tʃ i p o m i -	C V C V C V
1901	Kapanawa	back part	tʃipónki	tʃipónki	tʃ i p o n k i	None	32	tʃ i p o n k i	C V C V C C V
1906	Katukina	back part	tʃipu	tʃipu	tʃ i p u	None	32	tʃ i p u - - -	C V C V
1910	Kaxinawa	back part	tʃipu	tʃipu	tʃ i p u	None	32	tʃ i p u - - -	C V C V
1911	Marinawa	back part	tʃipo	tʃipo	tʃ i p o	None	32	tʃ i p o - - -	C V C V
1902	Marubo	back part	tʃipo	tʃipo	tʃ i p o	None	32	tʃ i p o - - -	C V C V
1898	Proto-Panoan	back part	tʃipo	tʃipo	tʃ i p o	None	32	tʃ i p o - - -	C V C V
1905	Sharanawa	back part	tʃipo	tʃipo	tʃ i p o	None	32	tʃ i p o - - -	C V C V
1900	ShipiboKonibo	back part	tʃipṍki	tʃipṍki	tʃ i p o k i	None	32	tʃ i p o k i -	C V C V C V
