ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGIDS	ALIGNMENT	QUINTILES
2695	SouthernSgaw	bark (n.), leather, skin	phaiɁ²¹	phaiɁ²¹	pʰ ai ʔ ²¹		138	pʰ ai ʔ ²¹	pʰ ai ʔ ²¹
2992	WesternBwe	bark (n.), leather, skin	phe³³	phe³³	pʰ e ³³		138	pʰ e - ³³	pʰ e ³³
13	ProtoKaren	bat	*plaᴬ/ᴮ	*plaᴬᴮ	p l a ⁵⁵		149	p l a - ⁵⁵	p|p|p|p|p l|l|l|l|l a|a|a|a|a -|-|-|-|- ⁵⁵|⁵⁵|⁵⁵|⁵⁵|⁵⁵
356	Kayah	bat	ple¹¹	ple¹¹	p l e ¹¹		149	p l e - ¹¹	p l e ¹¹
654	Kayan	bat	bla¹¹	bla¹¹	b l a ¹¹		149	b l a - ¹¹	b l a ¹¹
945	Kayaw	bat	pla¹¹	pla¹¹	p l a ¹¹		149	p l a - ¹¹	p l a ¹¹
1261	NorthernPao	bat	pla³¹ ̈	pla³¹̈	p l a ɦ ³¹		149	p l a ɦ ³¹	p l a ɦ ³¹
1539	NorthernPwo	bat	phla³³	phla³³	pʰ l a ³³		149	pʰ l a - ³³	pʰ l a ³³
1821	NorthernSgaw	bat	bla³³	bla³³	b l a ³³		149	b l a - ³³	b l a ³³
2130	SouthernPao	bat	pla³¹ ̈	pla³¹̈	p l a ɦ ³¹		149	p l a ɦ ³¹	p l a ɦ ³¹
2398	SouthernPwo	bat	phla⁵⁵	phla⁵⁵	pʰ l a ⁵⁵		149	pʰ l a - ⁵⁵	pʰ l a ⁵⁵
2696	SouthernSgaw	bat	bla⁵⁵	bla⁵⁵	b l a ⁵⁵		149	b l a - ⁵⁵	b l a ⁵⁵
2993	WesternBwe	bat	plɛ¹¹	plɛ¹¹	p l ɛ ¹¹		149	p l ɛ - ¹¹	p l ɛ ¹¹
14	ProtoKaren	bathe	*hlowᴮ	*hlowᴮ	l̥ ou ¹¹		161	l̥ ou - ¹¹	l|l|l|l|l ou|ou|ou|ou|ou -|-|-|-|- ¹¹|¹¹|¹¹|¹¹|¹¹
357	Kayah	bathe	lo¹¹	lo¹¹	l o ¹¹		161	l o - ¹¹	l o ¹¹
946	Kayaw	bathe	lu¹¹	lu¹¹	l u ¹¹		161	l u - ¹¹	l u ¹¹
1262	NorthernPao	bathe	lu⁵⁵	lu⁵⁵	l u ⁵⁵		161	l u - ⁵⁵	l u ⁵⁵
1540	NorthernPwo	bathe	lou³³	lou³³	l ou ³³		161	l ou - ³³	l ou ³³
1822	NorthernSgaw	bathe	lɨ¹¹ ̈ ~ lu¹¹ ̈	lɨ¹¹̈_~_lu¹¹̈	l ɨ ɦ ¹¹		161	l ɨ ɦ ¹¹	l ɨ ɦ ¹¹
2131	SouthernPao	bathe	lu³³	lu³³	l u ³³		161	l u - ³³	l u ³³
2399	SouthernPwo	bathe	(Ɂɔ⁵̃ ⁵)lou⁵⁵	lou⁵⁵	l ou ⁵⁵		161	l ou - ⁵⁵	l ou ⁵⁵
2697	SouthernSgaw	bathe	lɨ⁴⁵’	lɨ⁴⁵’	l ɨ ⁴⁵		161	l ɨ - ⁴⁵	l ɨ ⁴⁵
15	ProtoKaren	bear (animal)	*thamᴬ	*thamᴬ	tʰ a m ⁵⁵		171	tʰ a m - ⁵⁵	( tʰ a m ⁵⁵ )
358	Kayah	bear (animal)	the³³	the³³	tʰ e ³³		171	tʰ e - - ³³	tʰ e ³³
655	Kayan	bear (animal)	thaŋ⁵³	thaŋ⁵³	tʰ a ŋ ⁵³		171	tʰ a ŋ - ⁵³	tʰ a ŋ ⁵³
947	Kayaw	bear (animal)	thɔ⁵⁵	thɔ⁵⁵	tʰ ɔ ⁵⁵		171	tʰ ɔ - - ⁵⁵	tʰ ɔ ⁵⁵
1263	NorthernPao	bear (animal)	tham³¹ ̈	tham³¹̈	tʰ a m ɦ ³¹		171	tʰ a m ɦ ³¹	tʰ a m ɦ ³¹
1541	NorthernPwo	bear (animal)	(phɨ¹¹ ̈) thɔ̃³⁵	_thɔ̃³⁵	tʰ ã ³⁵		171	tʰ ã - - ³⁵	tʰ ã ³⁵
2132	SouthernPao	bear (animal)	tham³¹ ̈	tham³¹̈	tʰ a m ɦ ³¹		171	tʰ a m ɦ ³¹	tʰ a m ɦ ³¹
2400	SouthernPwo	bear (animal)	(phou⁵³)thɔ̃⁵³	thɔ̃⁵³	tʰ ɔ̃ ⁵³		171	tʰ ɔ̃ - - ⁵³	tʰ ɔ̃ ⁵³
2994	WesternBwe	bear (animal)	thɛ⁵⁵	thɛ⁵⁵	tʰ ɛ ⁵⁵		171	tʰ ɛ - - ⁵⁵	tʰ ɛ ⁵⁵
16	ProtoKaren	bedbug	*gramᴬ	*gramᴬ	g r a m ⁵⁵		182	g r a m ⁵⁵	?g ?r ?a ?m ?⁵⁵
359	Kayah	bedbug	khrɛ¹¹	khrɛ¹¹	kʰ r ɛ ¹¹		182	kʰ r ɛ - ¹¹	kʰ r ɛ ¹¹
656	Kayan	bedbug	caŋ³³	caŋ³³	c a ŋ ³³		183	c a ŋ ³³	c a ŋ ³³
948	Kayaw	bedbug	cɔ³³	cɔ³³	c ɔ ³³		183	c ɔ - ³³	c ɔ ³³
1264	NorthernPao	bedbug	sam³³~ɕam³³	sam³³	s a m ³³		184	s a m ³³	s a m ³³
1823	NorthernSgaw	bedbug	xɔ³³	xɔ³³	x ɔ ³³		185	x ɔ ³³	x ɔ ³³
2133	SouthernPao	bedbug	sam⁵³~saŋ⁵³	sam⁵³	s a m ⁵³		184	s a m ⁵³	s a m ⁵³
2698	SouthernSgaw	bedbug	xɔ³³	xɔ³³	x ɔ ³³		185	x ɔ ³³	x ɔ ³³
17	ProtoKaren	bee (Apis cerana)	*kwatᴰ	*kwatᴰ	k w a t̚ ⁵¹		191	k w a t̚ ⁵¹	( k w a t̚ ⁵¹ )
360	Kayah	bee (Apis cerana)	wɛ⁵⁵	wɛ⁵⁵	w ɛ ⁵⁵		191	- w ɛ - ⁵⁵	w ɛ ⁵⁵
657	Kayan	bee (Apis cerana)	hwɛɁ⁴⁵	hwɛɁ⁴⁵	h w ɛ ʔ ⁴⁵		191	h w ɛ ʔ ⁴⁵	h w ɛ ʔ ⁴⁵
949	Kayaw	bee (Apis cerana)	hwɛ³³~khwɛ³³	hwɛ³³	h w ɛ ³³		191	h w ɛ - ³³	h w ɛ ³³
1265	NorthernPao	bee (Apis cerana)	wat²¹	wat²¹	w a t ²¹		191	- w a t ²¹	w a t ²¹
1542	NorthernPwo	bee (Apis cerana)	kwɛ⁵⁵	kwɛ⁵⁵	k w ɛ ⁵⁵		191	k w ɛ - ⁵⁵	k w ɛ ⁵⁵
1824	NorthernSgaw	bee (Apis cerana)	kwɛɁ⁴⁵	kwɛɁ⁴⁵	k w ɛ ⁴⁵		191	k w ɛ - ⁴⁵	k w ɛ ⁴⁵
2134	SouthernPao	bee (Apis cerana)	wat²¹	wat²¹	w a p ²¹		191	- w a p ²¹	w a p ²¹
2401	SouthernPwo	bee (Apis cerana)	kwɛ³¹ ̈	kwɛ³¹̈	k w ɛ ɦ ³¹		191	k w ɛ ɦ ³¹	k w ɛ ɦ ³¹
2699	SouthernSgaw	bee (Apis cerana)	kwɛ⁵⁵	kwɛ⁵⁵	k w ɛ ⁵⁵		191	k w ɛ - ⁵⁵	k w ɛ ⁵⁵
2995	WesternBwe	bee (Apis cerana)	wɛ³³~θə⁵⁵kwɛ⁵⁵	wɛ³³	w ɛ ³³		191	- w ɛ - ³³	w ɛ ³³
18	ProtoKaren	bee (Apis dorsata)	*k-hneᴬ	*k-hneᴬ	k ə ⁰ + n̥ e ⁵⁵		204 203	k ə ⁰ + n̥ e - ⁵⁵	?k ?ə ?⁰ + n|n|n|n|n̥ e|e|e|e|e -|-|-|-|- ⁵⁵|⁵⁵|⁵⁵|⁵⁵|⁵⁵
361	Kayah	bee (Apis dorsata)	ni³³	ni³³	n i ³³		203	n i - ³³	n i ³³
658	Kayan	bee (Apis dorsata)	nai⁵³	nai⁵³	n ai ⁵³		203	n ai - ⁵³	n ai ⁵³
950	Kayaw	bee (Apis dorsata)	ni⁵⁵	ni⁵⁵	n i ⁵⁵		203	n i - ⁵⁵	n i ⁵⁵
