ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGIDS	ALIGNMENT	QUINTILES
59	Bola	animals (twelve) representing the twelve years	tɛ̃⁵⁵ vɛʔ⁵⁵ lun³¹	tɛ̃⁵⁵+vɛʔ⁵⁵+lun³¹	t ɛ̃ ⁵⁵ + v ɛ ʔ ⁵⁵ + l u n ³¹		61 1858 1859	t ɛ̃ - ⁵⁵ + v ɛ ʔ ⁵⁵ + l u n ³¹	t ɛ̃ ⁵⁵ + v ɛ ʔ ⁵⁵ + l u n ³¹
60	Rangoon	ankle	tɕhe²² mjɛʔ⁴ si⁵³	tɕhe²²+mjɛʔ⁴+si⁵³	tɕʰ e ²² + m j ɛ ʔ ⁴ + s i ⁵³		280 638 2403	tɕʰ - e - ²² + m j ɛ ʔ ⁴ + s i ⁵³	tɕʰ e ²² + m j ɛ ʔ ⁴ + s i ⁵³
61	AchangLongchuan	ankle	tɕhi⁵⁵ tɔʔ⁵⁵	tɕhi⁵⁵+tɔʔ⁵⁵	tɕʰ i ⁵⁵ + t ɔ ʔ ⁵⁵		274 1273	tɕʰ i ⁵⁵ + t ɔ ʔ ⁵⁵	tɕʰ i ⁵⁵ + t ɔ ʔ ⁵⁵
62	Atsi	ankle	ku̱²¹ tʃhaŋ²¹ tʃhap⁵⁵	ku̱²¹+tʃhaŋ²¹+tʃhap⁵⁵	k u̱ ²¹ + tʃʰ a ŋ ²¹ + tʃʰ a p ⁵⁵		280 2404 638	k - u̱ - ²¹ + tʃʰ a ŋ ²¹ + - tʃʰ a p ⁵⁵	k u̱ ²¹ + tʃʰ a ŋ ²¹ + tʃʰ a p ⁵⁵
63	Bola	ankle	khji⁵⁵ tʃhɛʔ⁵⁵	khji⁵⁵+tʃhɛʔ⁵⁵	kʰ j i ⁵⁵ + tʃʰ ɛ ʔ ⁵⁵		278 1274	kʰ j i - ⁵⁵ + tʃʰ ɛ ʔ ⁵⁵	kʰ j i ⁵⁵ + tʃʰ ɛ ʔ ⁵⁵
64	Maru	ankle	khjik³¹ tʃhɛʔ⁵⁵	khjik³¹+tʃhɛʔ⁵⁵	kʰ j i k ³¹ + tʃʰ ɛ ʔ ⁵⁵		280 638	kʰ j i k ³¹ + - tʃʰ ɛ ʔ ⁵⁵	kʰ j i k ³¹ + tʃʰ ɛ ʔ ⁵⁵
65	Xiandao	ankle	chi⁵⁵ tʂham³¹	chi⁵⁵+tʂham³¹	ch/tʃʰ i ⁵⁵ + ʈʂʰ a m ³¹		280 1275	ch/tʃʰ - i - ⁵⁵ + ʈʂʰ a m ³¹	ch/tʃʰ i ⁵⁵ + ʈʂʰ a m ³¹
66	ProtoBurmish	ankle	*tʃap	tʃap⁴	tʃ a p ⁴		638	- tʃ a p ⁴	( tʃ a p ⁴ )
67	AchangLongchuan	ant	tɕhi⁵⁵ man⁵⁵	tɕhi⁵⁵+man⁵⁵	tɕʰ i ⁵⁵ + m a n ⁵⁵		274 2341	tɕʰ i ⁵⁵ + m a n ⁵⁵	tɕʰ i ⁵⁵ + m a n ⁵⁵
68	Rangoon	arm	lɛʔ⁴ mɑ̃u⁵⁵	lɛʔ⁴+mɑ̃u⁵⁵	l ɛ ʔ ⁴ + m ɑ̃u ⁵⁵		334 2547	l ɛ ʔ ⁴ + m ɑ̃u ⁵⁵	l ɛ ʔ ⁴ + m ɑ̃u ⁵⁵
69	AchangLongchuan	arm	lɔʔ⁵⁵ san⁵⁵	lɔʔ⁵⁵+san⁵⁵	l ɔ ʔ ⁵⁵ + s a n ⁵⁵		334 2548	l ɔ ʔ ⁵⁵ + s a n ⁵⁵	l ɔ ʔ ⁵⁵ + s a n ⁵⁵
70	Atsi	arm	loʔ²¹ pu⁵⁵	loʔ²¹+pu⁵⁵	l o ʔ ²¹ + p u ⁵⁵		334 2549	l o ʔ ²¹ + p u ⁵⁵	l o ʔ ²¹ + p u ⁵⁵
71	Bola	arm	laʔ³¹ pu³⁵	laʔ³¹+pu³⁵	l a ʔ ³¹ + p u ³⁵		334 2550	l a ʔ ³¹ + p u ³⁵	l a ʔ ³¹ + p u ³⁵
72	Lashi	arm	lɔʔ³¹ pu⁵³	lɔʔ³¹+pu⁵³	l ɔ ʔ ³¹ + p u ⁵³		334 2551	l ɔ ʔ ³¹ + p u ⁵³	l ɔ ʔ ³¹ + p u ⁵³
73	Maru	arm	lɔʔ³¹ pau³⁵	lɔʔ³¹+pau³⁵	l ɔ ʔ ³¹ + p au ³⁵		334 2552	l ɔ ʔ ³¹ + p au ³⁵	l ɔ ʔ ³¹ + p au ³⁵
74	Xiandao	arm	lɔʔ⁵⁵ ʐum³¹	lɔʔ⁵⁵+ʐum³¹	l ɔ ʔ ⁵⁵ + ʐ u m ³¹		334 2553	l ɔ ʔ ⁵⁵ + ʐ u m ³¹	l ɔ ʔ ⁵⁵ + ʐ u m ³¹
75	Bola	armpit	laʔ³¹ tʃhɛʔ⁵⁵	laʔ³¹+tʃhɛʔ⁵⁵	l a ʔ ³¹ + tʃʰ ɛ ʔ ⁵⁵		334 1317	l a ʔ ³¹ + tʃʰ ɛ ʔ ⁵⁵	l a ʔ ³¹ + tʃʰ ɛ ʔ ⁵⁵
76	Lashi	armpit	lɔʔ³¹ tʃnap⁵⁵	lɔʔ³¹+tʃnap⁵⁵	l ɔ ʔ ³¹ + tʃ n a p ⁵⁵		334 1318	l ɔ ʔ ³¹ + tʃ n a p ⁵⁵	l ɔ ʔ ³¹ + tʃ n a p ⁵⁵
77	Maru	armpit	lɔʔ³¹ tʃhɛʔ⁵⁵	lɔʔ³¹+tʃhɛʔ⁵⁵	l ɔ ʔ ³¹ + tʃʰ ɛ ʔ ⁵⁵		334 638	l ɔ ʔ ³¹ + - tʃʰ ɛ ʔ ⁵⁵	l ɔ ʔ ³¹ + tʃʰ ɛ ʔ ⁵⁵
78	Xiandao	armpit	lɔʔ³¹ san⁵⁵ khʐoʔ⁵⁵	lɔʔ³¹+san⁵⁵+khʐoʔ⁵⁵	l ɔ ʔ ³¹ + s a n ⁵⁵ + kʰ ʐ o ʔ ⁵⁵		334 2533 2534	l ɔ ʔ ³¹ + s a n ⁵⁵ + kʰ ʐ o ʔ ⁵⁵	l ɔ ʔ ³¹ + s a n ⁵⁵ + kʰ ʐ o ʔ ⁵⁵
79	AchangLongchuan	armpit	kă³¹ liŋ³⁵ tʂhuaʔ⁵⁵	kă³¹+liŋ³⁵+tʂhwaʔ⁵⁵	k ă ³¹ + l i ŋ ³⁵ + ʈʂʰ w a ʔ ⁵⁵		3249 3250 1544	k ă ³¹ + l i ŋ ³⁵ + ʈʂʰ w a ʔ ⁵⁵	k ă ³¹ + l i ŋ ³⁵ + ʈʂʰ w a ʔ ⁵⁵
80	Atsi	armpit	kă²¹ tʃo̱k⁵⁵ khoŋ²¹	kă²¹+tʃo̱k⁵⁵+khoŋ²¹	k ă ²¹ + tʃ o̱ k ⁵⁵ + kʰ o ŋ ²¹		3251 1545 3252	k ă ²¹ + tʃ o̱ k ⁵⁵ + kʰ o ŋ ²¹	k ă ²¹ + tʃ o̱ k ⁵⁵ + kʰ o ŋ ²¹
81	Atsi	arrow	lai²¹ mjo²¹	lai²¹+mjo²¹	l ai ²¹ + m j o ²¹		360 2625	l ai - ²¹ + m j o ²¹	l ai ²¹ + m j o ²¹
82	Bola	arrow	li³¹ ʃɿ³⁵	li³¹+ʃɿ³⁵	l i ³¹ + ʃ ɿ ³⁵		360 729	l i - ³¹ + ʃ ɿ - ³⁵	l i ³¹ + ʃ ɿ ³⁵
83	Maru	arrow	la³⁵ mjɔk³¹	la³⁵+mjɔk³¹	l a ³⁵ + m j ɔ k ³¹		360 2626	l a - ³⁵ + m j ɔ k ³¹	l a ³⁵ + m j ɔ k ³¹
84	Lashi	arrow	mjo³³ ʃɿ⁵⁵	mjo³³+ʃɿ⁵⁵	m j o ³³ + ʃ ɿ ⁵⁵		3369 731	m j o ³³ + ʃ ɿ - ⁵⁵	m j o ³³ + ʃ ɿ ⁵⁵
85	OldBurmese	ask / question	miyḥ	mijḥ	m i j ḥ/⁵		397	m i j ḥ/⁵	m i j ḥ/⁵
86	Rangoon	ask / question	me⁵⁵	me⁵⁵	m e ⁵⁵		394	m - e - ⁵⁵	m e ⁵⁵
87	AchangLongchuan	ask / question	ȵi³¹	ȵi³¹	ȵ i ³¹		394	- ȵ i - ³¹	ȵ i ³¹
88	Atsi	ask / question	mji²¹	mji²¹	m j i ²¹		394	m j i - ²¹	m j i ²¹
89	Bola	ask / question	məi³¹	məi³¹	m əi ³¹		394	m - əi - ³¹	m əi ³¹
90	Lashi	ask / question	mjeːi³³	mjeːi³³	m j eːi ³³		394	m j eːi - ³³	m j eːi ³³
91	Maru	ask / question	mjik⁵⁵	mjik⁵⁵	m j i k ⁵⁵		394	m j i k ⁵⁵	m j i k ⁵⁵
92	Xiandao	ask / question	ni³¹	ni³¹	n i ³¹		394	- n i - ³¹	n i ³¹
93	ProtoBurmish	ask / question	*neH	ne²	n e ²		394	- n e - ²	m|m|m|m|m -|-|-|-|- i|i|i|e|e -|-|-|-|- ²|²|²|²|²
94	ProtoBurmish	ask / question	*miH	mi²	m i ²		397	m i - ²	?m ?i ?²
95	Atsi	ask s.b. to come here / fetch	vut²¹	vut²¹	v u t ²¹		72	- v u t ²¹	v u t ²¹
96	Bola	ask s.b. to come here / fetch	jɔ̃⁵⁵	jɔ̃⁵⁵	j ɔ̃ ⁵⁵		71	j ɔ̃ - ⁵⁵	j ɔ̃ ⁵⁵
97	Lashi	ask s.b. to come here / fetch	juːt³¹	juːt³¹	j uː t ³¹		72	- j uː t ³¹	j uː t ³¹
98	Maru	ask s.b. to come here / fetch	jɔ̃³¹	jɔ̃³¹	j ɔ̃ ³¹		71	j ɔ̃ - ³¹	j ɔ̃ ³¹
99	Atsi	askew / awry / slanting	jo̱n⁵⁵	jo̱n⁵⁵	j o̱ n ⁵⁵		784	- j o̱ n ⁵⁵	j o̱ n ⁵⁵
100	Bola	askew / awry / slanting	ja̱k⁵⁵	ja̱k⁵⁵	j a̱ k ⁵⁵		784	- j a̱ k ⁵⁵	j a̱ k ⁵⁵
101	Lashi	askew / awry / slanting	ju̱ːn⁵³	ju̱ːn⁵³	j u̱ː n ⁵³		784	- j u̱ː n ⁵³	j u̱ː n ⁵³
102	Maru	askew / awry / slanting	ja̱k⁵⁵	ja̱k⁵⁵	j a̱ k ⁵⁵		784	- j a̱ k ⁵⁵	j a̱ k ⁵⁵
103	ProtoBurmish	askew / awry / slanting	*ʔjik	ˀjik⁴	ˀj i k ⁴		784	- ˀj i k ⁴	-|-|-|-|- j|j|j|j|j i|i|i|i|i k|k|k|k|k ⁴|⁴|⁴|⁴|⁴
104	Atsi	asleep, fall	ju̱p⁵⁵ to̱²¹	ju̱p⁵⁵+to̱²¹	j u̱ p ⁵⁵ + t o̱ ²¹		221 2252	j u̱ p ⁵⁵ + t o̱ ²¹	j u̱ p ⁵⁵ + t o̱ ²¹
105	Bola	asleep, fall	ja̱p⁵⁵ ta̱³⁵	ja̱p⁵⁵+ta̱³⁵	j a̱ p ⁵⁵ + t a̱ ³⁵		221 2253	j a̱ p ⁵⁵ + t a̱ ³⁵	j a̱ p ⁵⁵ + t a̱ ³⁵
106	Lashi	asleep, fall	ju̱ːp⁵⁵ mje̱ːi⁵⁵	ju̱ːp⁵⁵+mje̱ːi⁵⁵	j u̱ː p ⁵⁵ + m j e̱ːi ⁵⁵		221 2254	j u̱ː p ⁵⁵ + m j e̱ːi ⁵⁵	j u̱ː p ⁵⁵ + m j e̱ːi ⁵⁵
107	Maru	asleep, fall	jap³¹ mji̱k⁵⁵	jap³¹+mji̱k⁵⁵	j a p ³¹ + m j i̱ k ⁵⁵		221 2255	j a p ³¹ + m j i̱ k ⁵⁵	j a p ³¹ + m j i̱ k ⁵⁵
108	Xiandao	asleep, fall	it⁵⁵ mui³¹	it⁵⁵+mui³¹	i t ⁵⁵ + m ui ³¹		221 2256	- i t ⁵⁵ + m ui ³¹	i t ⁵⁵ + m ui ³¹
109	Bola	assess / estimate	ku³¹	ku³¹	k u ³¹		202	k u - ³¹	k u ³¹
110	Atsi	at the bottom of (a hill)	o̱⁵¹	o̱⁵¹	o̱ ⁵¹		779	- - o̱ - ⁵¹	o̱ ⁵¹
111	Maru	at the bottom of (a hill)	ɔ³¹	ɔ³¹	ɔ ³¹		779	- - ɔ - ³¹	ɔ ³¹
112	Rangoon	aunt (father's sister)	ɑ⁵³ dɔ²²	ɑ⁵³+dɔ²²	ɑ ⁵³ + d ɔ ²²		487 612	- - ɑ ⁵³ + d - ɔ - ²²	ɑ ⁵³ + d ɔ ²²
113	Atsi	aunt (father's sister)	a⁵⁵ mo̱i⁵⁵	a⁵⁵+mo̱i⁵⁵	a ⁵⁵ + m o̱i ⁵⁵		487 3003	- - a ⁵⁵ + m o̱i ⁵⁵	a ⁵⁵ + m o̱i ⁵⁵
114	Lashi	aunt (father's sister)	a⁵⁵ nei³¹	a⁵⁵+nei³¹	a ⁵⁵ + n ei ³¹		3004 1452	a ⁵⁵ + n ei ³¹	a ⁵⁵ + n ei ³¹
115	Maru	aunt (father's sister)	na³¹	na³¹	n a ³¹		486	n a ³¹	n a ³¹
116	Xiandao	aunt (father's sister)	nai⁵⁵ tʂɯŋ⁵⁵	nai⁵⁵+tʂɯŋ⁵⁵	n ai ⁵⁵ + ʈʂ ɯ ŋ ⁵⁵		487 3005	n - ai ⁵⁵ + ʈʂ ɯ ŋ ⁵⁵	n ai ⁵⁵ + ʈʂ ɯ ŋ ⁵⁵
117	ProtoBurmish	aunt (father's sister)	*nai	nai¹	n ai ¹		487	n - ai ¹	n|n|n|n|n -|-|-|-|- ai|ai|ai|ai|ai ¹|¹|¹|¹|⁴
118	AchangLongchuan	axe	u³¹ tɕɔŋ³¹	u³¹+tɕɔŋ³¹	u ³¹ + tɕ ɔ ŋ ³¹		935 3725	- u ³¹ + tɕ ɔ ŋ ³¹	u ³¹ + tɕ ɔ ŋ ³¹
119	Lashi	axe	wo³³ tsuŋ³³	wo³³+tsuŋ³³	w o ³³ + ts u ŋ ³³		935 3726	w o ³³ + ts u ŋ ³³	w o ³³ + ts u ŋ ³³
120	AchangLongchuan	baa / bleat	mʐəŋ⁵⁵	mʐəŋ⁵⁵	m ʐ ə ŋ ⁵⁵		459	m ʐ ə ŋ ⁵⁵	m ʐ ə ŋ ⁵⁵
121	Bola	baa / bleat	mjaŋ⁵⁵	mjaŋ⁵⁵	m j a ŋ ⁵⁵		460	m j a ŋ ⁵⁵	m j a ŋ ⁵⁵
122	Lashi	baa / bleat	mjəːŋ³¹	mjəːŋ³¹	m j əː ŋ ³¹		459	m j əː ŋ ³¹	m j əː ŋ ³¹
123	Maru	baa / bleat	mjaŋ³¹	mjaŋ³¹	m j a ŋ ³¹		459	m j a ŋ ³¹	m j a ŋ ³¹
124	Xiandao	baa / bleat	mɯŋ⁵⁵	mɯŋ⁵⁵	m ɯ ŋ ⁵⁵		459	m - ɯ ŋ ⁵⁵	m ɯ ŋ ⁵⁵
125	AchangLongchuan	baby	tsɔ³¹ na⁵⁵	tsɔ³¹+na⁵⁵	ts ɔ ³¹ + n a ⁵⁵		1079 1991	ts ɔ ³¹ + n a ⁵⁵	ts ɔ ³¹ + n a ⁵⁵
126	Atsi	baby	tsŏ²¹ nu⁵⁵	tsŏ²¹+nu⁵⁵	ts ŏ ²¹ + n u ⁵⁵		1080 1992	ts ŏ ²¹ + n u ⁵⁵	ts ŏ ²¹ + n u ⁵⁵
127	Bola	baby	ta³¹ nɔ³⁵	ta³¹+nɔ³⁵	t a ³¹ + n ɔ ³⁵		1081 1993	t a ³¹ + n ɔ ³⁵	t a ³¹ + n ɔ ³⁵
128	Lashi	baby	tsə̆³³ no⁵⁵	tsə̆³³+no⁵⁵	ts ə̆ ³³ + n o ⁵⁵		1082 1994	ts ə̆ ³³ + n o ⁵⁵	ts ə̆ ³³ + n o ⁵⁵
129	Maru	baby	tsɔ̆³⁵ nau⁵⁵	tsɔ̆³⁵+nau⁵⁵	ts ɔ̆ ³⁵ + n au ⁵⁵		93 1995	- ts ɔ̆ - ³⁵ + n au ⁵⁵	ts ɔ̆ ³⁵ + n au ⁵⁵
