ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	ALIGNMENT	STRUCTURE	COGIDS
6477	Marubo	arrow	ˈtawa	ˈtawa	t a w a	None	394	t a w a	C V C V	394
3242	Amawaka	ascend	mapɨ-	mapɨ-	m a p ɨ	II	136	m a p ɨ	C V C V	136
3239	Chakobo	ascend	mapɨ	mapɨ	m a p ɨ	None	136	m a p ɨ	C V C V	136
3236	Kakataibo	ascend	mápɨrakɨ́-	mápɨrakɨ́-	m a p ɨ	None	136	m a p ɨ	C V C V	136
3238	Kapanawa	ascend	mapɨ́	mapɨ́	m a p ɨ	None	136	m a p ɨ	C V C V	136
3243	Kaxinawa	ascend	mapɨ-	mapɨ-	m a p ɨ	None	136	m a p ɨ	C V C V	136
3244	Marinawa	ascend	mápɨ-	mápɨ-	m a p ɨ	None	136	m a p ɨ	C V C V	136
3235	ProtoPanoan	ascend	mapɨ-	mapɨ-	m a p ɨ	None	136	m a p ɨ	C V C V	136
3240	Yaminawa	ascend	mapɨ	mapɨ	m a p ɨ	None	136	m a p ɨ	C V C V	136
2952	Amawaka	ash, gray	koro	koro	k o r o	II	112	k o r o	C V C V	112
2950	Chakobo	ash, gray	koro	koro	k o r o	None	112	k o r o	C V C V	112
2944	Kakataibo	ash, gray	kweẽkoro	kweẽkoro	k o r o	None	112	k o r o	C V C V	112
2948	Kapanawa	ash, gray	koro	koro	k o r o	None	112	k o r o	C V C V	112
2951	Katukina	ash, gray	kuru	kuru	k u r u	None	112	k u r u	C V C V	112
2953	Kaxinawa	ash, gray	kudu	kudu	k u d u	None	112	k u d u	C V C V	112
2954	Marinawa	ash, gray	kóró	kóró	k o r o	None	112	k o r o	C V C V	112
2949	Marubo	ash, gray	koro	koro	k o r o	None	112	k o r o	C V C V	112
2956	Matis	ash, gray	kuɾu	kuɾu	k u ɾ u	None	112	k u ɾ u	C V C V	112
2957	Mayoruna	ash, gray	kuˈɾu	kuˈɾu	k u ɾ u	None	112	k u ɾ u	C V C V	112
2943	ProtoPanoan	ash, gray	koɽo	koɽo	k o ɽ o	None	112	k o ɽ o	C V C V	112
2947	ShipiboKonibo	ash, gray	koro	koro	k o r o	None	112	k o r o	C V C V	112
3283	Kaxarari	ash, gray	mapuˈʔu	mapuˈʔu	m a p u ʔ	None	140	m a p u ʔ	C V C V C	140
3373	Amawaka	atop	máxkaa	máxkaa	m a x k a	None	147	m a x k a -	C V C C V	147
3370	Chakobo	atop	maʂkátʃa	maʂkátʃa	m a ʂ k a tʃ	None	147	m a ʂ k a tʃ	C V C C V C	147
3375	Kaxinawa	atop	maʂka	maʂka	m a ʂ k a	None	147	m a ʂ k a -	C V C C V	147
3376	Mayoruna	atop	maʂˈkad	maʂˈkad	m a ʂ k a d	None	147	m a ʂ k a d	C V C C V C	147
3366	ProtoPanoan	atop	maʂka[t]	maʂka[t]	m a ʂ k a t	None	147	m a ʂ k a t	C V C C V C	147
3371	Sharanawa	atop	maʂkanan	maʂkanan	m a ʂ k a	None	147	m a ʂ k a -	C V C C V	147
3368	ShipiboKonibo	atop	maʂká	maʂká	m a ʂ k a	None	147	m a ʂ k a -	C V C C V	147
5397	Amawaka	axe	rowɨ_I	rowɨ_I	r o ɨ	None	307	r o ɨ	C V V	307
5390	Kakataibo	axe	roɨ	roɨ	r o ɨ	None	307	r o ɨ	C V V	307
5392	Kapanawa	axe	rowɨ	rowɨ	r o ɨ	None	307	r o ɨ	C V V	307
5395	Katukina	axe	ɾui	ɾui	ɾ u i	None	307	ɾ u i	C V V	307
5398	Kaxinawa	axe	duɨ	duɨ	d u ɨ	None	307	d u ɨ	C V V	307
5399	Marinawa	axe	rowɨ	rowɨ	r o ɨ	None	307	r o ɨ	C V V	307
5393	Marubo	axe	ˈruɨ	ˈruɨ	r u ɨ	None	307	r u ɨ	C V V	307
5401	Matis	axe	duɨ	duɨ	d u ɨ	None	307	d u ɨ	C V V	307
5402	Mayoruna	axe	duɨ	duɨ	d u ɨ	None	307	d u ɨ	C V V	307
5389	ProtoPanoan	axe	ɽoɨ	ɽoɨ	ɽ o ɨ	None	307	ɽ o ɨ	C V V	307
5394	Shanenawa	axe	ɾuɨ	ɾuɨ	ɾ u ɨ	None	307	ɾ u ɨ	C V V	307
5391	ShipiboKonibo	axe	roɨ	roɨ	r o ɨ	None	307	r o ɨ	C V V	307
5400	Yawanawa	axe	ruˈɨ	ruˈɨ	r u ɨ	None	307	r u ɨ	C V V	307
7054	Amawaka	axe	yami_I	yami_I	j a m i	None	443	j a m i	C V C V	443
7049	Chaninawa	axe	yami	yami	j a b i	None	443	j a b i	C V C V	443
7047	Kapanawa	axe	yami	yami	j a m i	None	443	j a m i	C V C V	443
7055	Kaxinawa	axe	yami	yami	j a m i	None	443	j a m i	C V C V	443
7056	Marinawa	axe	yami	yami	j a m i	None	443	j a m i	C V C V	443
7053	Poyanawa	axe	iamĩbapu	iamĩbapu	j a m i	(prov. iamĩ + bapu	443	j a m i	C V C V	443
7045	ProtoPanoan	axe	yami	yami	j a m i	None	443	j a m i	C V C V	443
7051	Sharanawa	axe	yami	yami	j a m i	None	443	j a m i	C V C V	443
7046	ShipiboKonibo	axe	yami	yami	j a m i	None	443	j a m i	C V C V	443
7048	Yaminawa	axe	yami	yami	j a m i	None	443	j a m i	C V C V	443
2387	Amawaka	back	katɨ́	katɨ́	k a t ɨ	None	69	k a - t ɨ	C V C V	69
2379	Chakobo	back	katɨ	katɨ	k a t ɨ	None	69	k a - t ɨ	C V C V	69
2382	Chaninawa	back	kato	kato	k a t ɨ	None	69	k a - t ɨ	C V C V	69
2378	Kapanawa	back	kaʔtɨ	kaʔtɨ	k a ʔ t ɨ	None	69	k a ʔ t ɨ	C V C C V	69
2380	Kaxarari	back	ˈkatapu	ˈkatapu	k a t a	(PICKERING,  s.d.	69	k a - t a	C V C V	69
2388	Kaxinawa	back	katɨ	katɨ	k a t ɨ	None	69	k a - t ɨ	C V C V	69
2389	Marinawa	back	katɨ	katɨ	k a t ɨ	None	69	k a - t ɨ	C V C V	69
2390	Matis	back	kaʂuku	kaʂuku	k a	None	69	k a - - -	C V	69
2386	Poyanawa	back	katɨhaw	katɨhaw	k a t ɨ	(katɨ <<costas>> + haw <<osso>>	69	k a - t ɨ	C V C V	69
2377	ProtoPanoan	back	kaʔtɨ	kaʔtɨ	k a ʔ t ɨ	None	69	k a ʔ t ɨ	C V C C V	69
2384	Sharanawa	back	katɨ	katɨ	k a t ɨ	None	69	k a - t ɨ	C V C V	69
2381	Yaminawa	back	kati	kati	k a t ɨ	None	69	k a - t ɨ	C V C V	69
2632	Kakataibo	back	ka-ʂo	ka-ʂo	k a	None	85	k a	C V	85
2645	Matis	back	ka-ʂuku	ka-ʂuku	k a	None	85	k a	C V	85
2641	Amawaka	back (body-part prefix)	ká-tɨ-xáo	ká-tɨ-xáo	k a	None	85	k a	C V	85
2636	Chakobo	back (body-part prefix)	ˈka-ʂo	ˈka-ʂo	k a	None	85	k a	C V	85
2640	Katukina	back (body-part prefix)	ka-ʃu	ka-ʃu	k a	None	85	k a	C V	85
2638	Kaxarari	back (body-part prefix)	kaʃaˈho	kaʃaˈho	k a	None	85	k a	C V	85
2642	Kaxinawa	back (body-part prefix)	ka-ʂaʂu	ka-ʂaʂu	k a	None	85	k a	C V	85
2644	Marinawa	back (body-part prefix)	ká-ʂáʂó	ká-ʂáʂó	k a	None	85	k a	C V	85
2635	Marubo	back (body-part prefix)	kaʃo	kaʃo	k a	None	85	k a	C V	85
2647	Mayoruna	back (body-part prefix)	kaˈʂu	kaˈʂu	k a	None	85	k a	C V	85
2637	Poyanawa	back (body-part prefix)	kahku	kahku	k a	None	85	k a	C V	85
2631	ProtoPanoan	back (body-part prefix)	ka-	ka-	k a	None	85	k a	C V	85
2639	Sharanawa	back (body-part prefix)	ka-tɨ-ʂao	ka-tɨ-ʂao	k a	None	85	k a	C V	85
2633	ShipiboKonibo	back (body-part prefix)	ka-ʂo	ka-ʂo	k a	None	85	k a	C V	85
1907	Amawaka	back part	tʃípo	tʃípo	tʃ i p o	None	32	tʃ i p o	C V C V	32
1903	Chakobo	back part	tʃípo	tʃípo	tʃ i p o	None	32	tʃ i p o	C V C V	32
1899	Kakataibo	back part	tʃipṍmi	tʃipṍmi	tʃ i p o	None	32	tʃ i p o	C V C V	32
1901	Kapanawa	back part	tʃipónki	tʃipónki	tʃ i p o	None	32	tʃ i p o	C V C V	32
1906	Katukina	back part	tʃipu	tʃipu	tʃ i p u	None	32	tʃ i p u	C V C V	32
1910	Kaxinawa	back part	tʃipu	tʃipu	tʃ i p u	None	32	tʃ i p u	C V C V	32
1911	Marinawa	back part	tʃipo	tʃipo	tʃ i p o	None	32	tʃ i p o	C V C V	32
1902	Marubo	back part	tʃipo	tʃipo	tʃ i p o	None	32	tʃ i p o	C V C V	32
1898	ProtoPanoan	back part	tʃipo	tʃipo	tʃ i p o	None	32	tʃ i p o	C V C V	32
1905	Sharanawa	back part	tʃipo	tʃipo	tʃ i p o	None	32	tʃ i p o	C V C V	32
1900	ShipiboKonibo	back part	tʃipṍki	tʃipṍki	tʃ i p o	None	32	tʃ i p o	C V C V	32
4793	Amawaka	bad smell, stench	pisí_I	pisí_I	p i s i	None	262	p i s i	C V C V	262
4789	Chakobo	bad smell, stench	pisi	pisi	p i s i	None	262	p i s i	C V C V	262
4785	Kakataibo	bad smell, stench	pisi	pisi	p i s i	None	262	p i s i	C V C V	262
4787	Kapanawa	bad smell, stench	pisi	pisi	p i s i	None	262	p i s i	C V C V	262
4792	Katukina	bad smell, stench	pisi-ai	pisi-ai	p i s i	None	262	p i s i	C V C V	262
4794	Kaxinawa	bad smell, stench	pisi	pisi	p i s i	None	262	p i s i	C V C V	262
